sttn_idntfr,sttn_std_idntfr,sttn_ty,centr_cartrk_se,korean_nm,shrten_nm,la,lo,detect_headg_value,link_idntfr,link_la,link_lo,link_isesttn_sn,link_isesttn_dstnc,start_dcs_dstnc,arvl_dcs_dstnc,reform_no,sttn_svc_idntfr,sttn_svc_nm
1086,355004467,1,0,가산2리 원흥,가산2리 원흥,128.2961724,36.320142,180,3550049300,128.296301,36.3203027,2,1252,50,50,1388,11086,
1087,355004468,1,0,신림리 섬마(다곡리 방면),신림리섬마(다곡리),128.3642489,36.28364513,270,3550048900,128.3642707,36.28367236,2,1182,50,50,1379,11087,
1088,355004469,1,0,신림리 섬마(일선교정류장방면),신림리섬마(일선교),128.3642489,36.28380854,90,3550006000,128.3642489,36.28377586,1,257,50,50,1379,11088,
1089,355004470,1,0,도개리,도개리,128.3569917,36.28748118,355,3550049500,128.3569435,36.28747314,1,450,50,50,1379,11089,
1090,355004471,1,0,신림리 새마(일선교정류장방면),신림리 새마,128.3565177,36.28331102,225,3550006000,128.3565579,36.28326281,2,982,50,50,1379,11090,
1091,355004472,1,0,신림리 새마(다곡리 방면),신림리 새마2,128.35659,36.28306997,45,3550048900,128.356582,36.28311818,1,451,50,50,1379,11091,
1092,355004473,1,0,동락공원4주차장 건너,동락공원4주차장 건너,128.4032997,36.09286743,355,3550056700,128.4032779,36.09283475,1,51,50,50,1379,11092,
1093,355004474,1,0,구미과학관 건너,구미과학관 건너,128.4019979,36.10226367,355,3550056700,128.4019597,36.10220376,2,1101,50,50,1379,11093,
1094,355004475,1,0,인덕중학교건너,인덕중학교건너,128.4387413,36.16112082,90,3550135900,128.4387413,36.16116099,1,204,50,50,1442,11094,
1095,355004484,1,0,여남리 중앙,여남리 중앙,128.5223273,36.12524838,286,3550013900,128.5223192,36.12519214,3,2150,50,50,1414,11095,
1098,355004481,1,0,태왕아너스아파트건너,태왕아너스아파트건너,128.3512814,36.16223624,90,3550022200,128.3512814,36.16227437,3,713,50,50,1382,11098,
1099,355004482,1,0,남구미요양병원건너,남구미요양병원건너,128.3520826,36.0778876,220,3550024900,128.3521262,36.07786036,2,273,50,50,1382,11099,
1100,355004483,1,0,남구미요양병원,남구미요양병원,128.3521698,36.07772963,45,3550067200,128.3521425,36.07769695,2,732,50,50,1382,11100,
1101,355004476,1,0,가산1리 후생촌,가산1리 후생촌,128.2951201,36.32736543,180,3550049300,128.2951093,36.32729462,1,430,50,50,1388,11101,
1102,355004485,1,0,여남리 중앙(명곡종점방면),여남리 중앙건너,128.5222686,36.12507205,100,3550056400,128.5222846,36.12508812,1,2640,50,50,1388,11102,
1103,355004494,1,0,추모공원입구,추모공원입구,128.2800195,36.31777931,80,3550024700,128.279965,36.31776842,4,3174,50,50,1398,11103,
1104,355004495,1,0,추모공원입구건너,추모공원입구건너,128.2801189,36.31781365,315,3550067000,128.2801028,36.31780561,3,2375,50,50,1398,11104,
1105,355004496,1,0,일이삼철강 건너,일이삼철강 건너,128.3964238,36.13473591,215,3550050900,128.3964892,36.13467599,1,267,50,50,1398,11105,
1106,355004497,1,0,무수2리 원성,무수2리 원성,128.1924484,36.26601112,20,3550112300,128.1924324,36.26600308,2,664,50,50,1409,11106,
1107,355004498,1,0,가산1리(가덕),가산1리(가덕),128.2961875,36.33084473,5,3550048300,128.2962036,36.33084473,1,246,50,50,1398,11107,
1108,355004499,1,0,가산1리(가덕)건너,가산1리(가덕)건너,128.2960855,36.33085181,200,3550005400,128.296067,36.33082866,2,1250,50,50,1398,11108,
1109,355004500,1,0,산두갠고개,산두갠고개,128.3046225,36.32660488,45,3550049200,128.3047109,36.32670934,4,1215,50,50,1460,11109,
1110,355004487,1,0,우림필유건너,우림필유건너,128.3740446,36.12279504,0,3550141600,128.3740555,36.12272423,1,203,50,50,1391,11110,
1111,355004488,1,0,쌍용예가더파크아파트,쌍용예가더파크,128.4282415,36.15985002,45,3550135600,128.4281544,36.15988815,2,594,50,50,1393,11111,
1112,355004489,1,0,쌍용예가더파크아파트건너,쌍용예가더파크건너,128.4284925,36.15973905,45,3550135700,128.4282756,36.15978726,1,228,50,50,1393,11112,
1113,355004490,1,0,호반베르디움후문,호반베르디움아파트,128.4269103,36.14695457,45,3550139000,128.4268831,36.14701993,2,726,50,50,1393,11113,
1114,355004491,1,0,호반베르디움후문건너,호반베르디움건너,128.4267491,36.14720797,225,3550139100,128.426809,36.14710448,1,81,50,50,1393,11114,
1115,355004492,1,0,옥계성당,옥계성당,128.4222996,36.14570347,90,3550139000,128.4222942,36.14575794,1,285,50,50,1393,11115,
